Semester,CGPA,Attendance,Internal_Marks,Assignment_Score,Quiz_Score,Study_Hours,Backlogs,Skill_Level,Performance,Risk_Level
8,6.79,76.2,74.3,50.6,50.7,7.6,4,2,79.33,Low
6,7.23,72.0,74.7,72.7,64.0,4.9,1,5,97.42,Low
7,9.21,70.0,80.3,99.1,70.4,3.8,3,1,100.0,Low
4,6.43,78.0,47.2,96.2,33.1,4.9,1,3,79.44,Low
1,9.31,57.8,79.4,42.6,38.6,4.4,4,4,86.5,Low
6,9.03,59.1,90.0,49.9,69.1,6.2,4,4,99.51,Low
8,5.48,93.1,49.9,47.9,54.0,2.6,1,3,66.35,Medium
5,4.85,97.3,53.1,83.6,81.0,3.1,3,2,70.64,Low
8,5.0,68.7,93.4,89.1,75.7,7.2,1,5,84.31,Low
5,4.59,63.5,50.0,52.8,89.2,7.6,4,4,68.35,Medium
2,4.97,82.2,87.0,70.4,78.5,7.2,4,3,74.79,Low
7,7.92,70.4,67.1,90.4,60.1,3.6,2,3,89.58,Low
5,4.86,51.3,53.6,84.0,77.1,6.4,2,2,67.34,Medium
8,6.09,57.8,87.9,72.5,49.3,4.1,0,2,80.9,Low
2,8.72,85.8,64.5,75.4,51.4,4.2,4,1,88.56,Low
1,4.62,82.9,68.3,70.5,85.2,2.0,2,4,67.68,Medium
4,8.57,51.4,59.8,57.9,61.2,4.9,1,1,89.58,Low
4,5.91,61.1,72.6,73.9,85.9,1.9,3,3,70.7,Low
4,5.09,61.6,49.0,81.3,87.6,3.0,1,5,72.77,Low
5,7.98,83.6,61.5,92.4,90.0,6.9,3,5,91.65,Low
1,7.64,51.0,93.3,78.2,94.2,2.1,2,2,90.34,Low
5,8.89,55.2,54.2,85.7,60.2,1.0,0,5,94.03,Low
7,8.18,90.0,76.1,49.6,52.3,1.0,1,5,87.91,Low
5,8.52,58.9,57.9,67.7,70.8,7.6,1,5,96.4,Low
1,5.91,82.6,82.5,40.6,56.0,4.3,1,3,72.73,Low
1,5.39,61.9,47.2,54.8,72.1,3.6,3,5,61.02,Medium
7,8.25,55.0,93.3,83.6,79.4,6.6,2,5,100.0,Low
1,8.53,62.2,65.0,99.5,78.2,6.8,1,5,100.0,Low
8,9.45,86.1,53.0,46.0,56.2,3.0,1,1,93.85,Low
1,6.56,92.8,44.0,64.1,41.7,5.7,0,3,84.46,Low
4,6.36,91.5,49.3,88.0,60.1,6.3,0,2,88.53,Low
8,8.38,69.9,68.6,52.2,40.0,5.4,2,1,88.65,Low
8,6.2,83.4,58.5,73.3,92.3,1.6,2,4,77.24,Low
7,9.15,60.2,85.6,84.0,54.2,7.1,4,3,94.79,Low
3,8.79,64.7,63.7,77.0,40.8,4.5,0,3,100.0,Low
3,6.64,94.8,53.7,51.3,31.8,2.6,4,4,73.65,Low
1,8.25,50.7,73.9,61.3,75.2,3.7,3,4,83.06,Low
8,8.27,54.3,78.9,87.0,74.6,0.8,4,4,81.44,Low
3,5.02,60.4,49.2,73.3,53.8,1.5,1,2,61.68,Medium
3,9.01,51.3,49.2,40.3,35.0,6.2,4,5,82.52,Low
1,7.03,59.1,42.0,85.7,58.7,0.5,2,3,75.13,Low
3,8.63,79.2,80.5,42.1,51.8,3.6,3,5,89.01,Low
5,6.1,71.1,76.5,84.7,77.4,4.4,1,5,92.59,Low
2,8.98,94.6,66.1,52.1,72.4,0.9,4,4,91.61,Low
7,6.45,90.9,86.4,97.5,55.5,7.8,3,2,87.84,Low
2,4.55,67.1,84.3,62.1,45.3,2.2,3,1,60.33,Medium
1,9.03,63.0,72.2,59.6,99.2,2.8,1,2,100.0,Low
4,4.96,69.0,87.8,48.9,61.8,2.8,4,5,61.37,Medium
7,6.1,79.5,51.3,58.3,78.2,2.2,3,2,65.85,Medium
1,9.25,63.4,46.2,92.6,39.8,0.5,3,4,87.24,Low
8,9.25,81.2,54.8,99.8,64.0,6.0,0,1,100.0,Low
4,7.37,70.5,43.1,62.1,31.9,7.8,3,4,81.62,Low
2,7.66,77.6,69.2,66.9,65.4,2.2,0,1,84.56,Low
1,6.74,71.8,91.5,83.3,97.5,5.5,4,5,85.01,Low
8,5.97,64.7,42.2,93.2,56.9,6.1,4,1,67.53,Medium
7,6.14,97.4,46.7,75.6,32.7,6.9,4,1,69.68,Medium
7,7.86,88.2,64.9,63.5,32.2,3.7,2,1,89.61,Low
6,8.26,57.0,91.4,64.8,57.2,2.8,4,2,79.47,Low
8,8.46,93.4,57.4,81.7,41.2,2.9,3,2,88.33,Low
5,8.45,74.4,67.9,40.2,31.6,5.8,1,5,99.12,Low
3,4.96,94.7,42.3,77.2,82.9,6.6,0,1,84.26,Low
4,6.97,90.0,48.2,61.3,62.1,1.9,2,3,76.0,Low
8,4.79,71.3,94.3,87.7,50.2,3.3,4,5,68.02,Medium
6,7.25,51.1,93.1,45.6,93.0,7.3,4,1,85.34,Low
3,6.71,63.4,40.3,75.3,38.1,6.6,1,1,79.18,Low
3,8.94,77.1,92.3,68.9,96.9,7.9,1,2,100.0,Low
1,6.25,81.7,75.2,78.5,52.0,6.2,2,5,85.86,Low
3,5.09,62.9,87.7,43.9,92.2,3.4,0,1,67.19,Medium
5,5.21,57.0,65.0,74.8,72.2,4.9,4,1,65.02,Medium
7,8.31,91.7,68.4,73.7,87.9,5.5,2,5,100.0,Low
6,7.59,99.2,66.9,73.6,98.9,1.1,3,3,85.32,Low
3,5.01,76.3,76.7,76.2,50.2,4.6,3,5,75.89,Low
1,4.92,58.6,47.7,80.6,97.3,5.8,2,5,70.92,Low
5,8.0,63.6,41.6,88.3,57.3,1.8,4,3,75.65,Low
2,4.86,50.9,56.9,56.2,57.0,6.4,2,5,73.54,Low
7,8.61,95.7,78.8,89.5,53.8,4.9,4,1,89.84,Low
7,8.03,55.9,51.1,69.9,67.9,7.6,1,5,94.99,Low
6,4.91,78.8,77.0,44.6,40.8,0.8,2,3,60.1,Medium
7,4.92,63.7,93.3,43.5,68.8,2.5,4,4,64.31,Medium
3,9.43,77.7,45.2,60.1,67.9,5.0,2,5,100.0,Low
1,6.37,82.6,77.0,87.1,83.3,2.7,2,2,77.61,Low
7,6.35,91.5,64.4,82.5,88.4,5.9,4,1,76.6,Low
7,8.56,60.3,87.7,87.3,60.8,6.2,4,1,90.39,Low
2,9.24,50.5,49.7,71.0,51.2,1.3,0,2,93.12,Low
2,9.43,56.8,78.1,66.4,48.2,4.4,2,2,98.74,Low
4,8.27,95.0,86.1,48.8,43.6,4.3,3,5,93.25,Low
5,6.38,93.7,92.0,59.7,34.0,3.3,2,2,72.82,Low
3,4.92,79.9,77.6,66.0,54.0,7.5,2,4,78.51,Low
7,8.39,80.0,67.3,45.3,48.9,6.7,4,3,88.05,Low
8,7.29,83.3,74.0,53.2,97.6,5.7,2,2,94.24,Low
7,6.62,58.8,87.8,75.9,69.0,5.9,2,2,86.06,Low
1,9.03,95.7,71.4,84.1,54.3,4.0,3,4,100.0,Low
4,5.06,70.9,41.7,99.9,70.6,7.4,4,1,67.31,Medium
5,6.96,69.2,91.2,96.0,39.7,5.7,2,1,90.48,Low
8,4.56,75.9,77.9,78.6,61.1,6.0,1,5,77.73,Low
4,6.84,52.3,77.2,65.3,73.8,7.0,0,4,92.81,Low
6,4.78,58.3,51.9,78.2,64.2,2.6,3,3,66.03,Medium
5,5.09,86.9,76.2,87.1,58.1,6.6,2,3,79.84,Low
7,5.09,54.1,61.7,47.1,99.6,2.0,1,4,70.69,Low
7,7.75,80.2,75.8,64.6,91.6,3.1,2,3,87.08,Low
5,8.23,62.3,45.9,90.4,73.6,3.0,2,1,82.76,Low
7,7.42,69.5,76.2,63.0,69.9,7.8,4,3,87.19,Low
3,9.31,64.4,95.0,74.3,73.4,6.9,4,3,100.0,Low
5,6.37,67.8,42.7,75.3,44.1,5.8,4,4,68.57,Medium
4,5.93,86.0,93.7,51.1,57.7,6.0,1,4,85.47,Low
5,8.84,64.9,62.4,61.7,32.8,4.7,2,3,96.0,Low
8,5.62,78.3,87.9,60.1,63.3,7.6,0,2,88.18,Low
7,9.32,73.8,83.0,41.6,68.0,4.2,3,4,93.91,Low
3,4.56,83.2,71.2,41.5,45.9,3.4,4,5,57.43,Medium
3,9.35,96.8,80.6,89.9,97.5,1.7,4,5,99.1,Low
6,4.72,86.6,88.3,56.4,93.7,6.4,2,1,73.39,Low
4,8.96,60.7,62.2,71.1,80.6,6.0,2,3,98.05,Low
2,7.14,51.6,58.0,57.9,67.3,3.4,1,2,79.03,Low
2,9.46,63.1,76.7,96.4,90.9,0.7,1,1,98.05,Low
5,4.87,79.8,84.4,55.6,39.1,6.8,4,3,65.02,Medium
6,7.27,52.6,81.9,65.8,85.3,0.6,2,4,80.76,Low
1,9.35,74.8,83.9,92.4,38.7,5.8,0,5,100.0,Low
5,7.12,79.8,64.0,90.5,85.6,7.8,3,2,95.89,Low
6,7.65,66.7,85.0,51.2,49.3,3.8,2,5,90.99,Low
4,7.98,88.5,46.6,88.2,91.4,2.3,2,4,89.98,Low
4,6.77,55.3,69.9,67.5,96.1,5.8,1,3,88.52,Low
4,7.64,53.8,40.3,69.0,40.4,6.6,3,4,77.23,Low
4,7.42,86.4,57.9,48.0,62.4,4.6,4,4,84.29,Low
4,9.01,74.8,60.2,44.8,98.7,7.8,2,5,100.0,Low
6,4.73,84.4,61.8,83.7,63.8,0.9,4,2,57.39,Medium
6,5.9,71.7,78.3,69.8,90.4,4.3,2,4,83.76,Low
3,9.25,62.3,61.4,66.2,71.2,5.9,4,5,96.31,Low
8,8.95,91.0,64.7,83.8,56.3,7.0,3,2,94.95,Low
2,6.78,90.0,53.1,85.9,50.0,1.8,1,3,79.48,Low
7,7.6,84.7,60.5,49.5,44.2,6.5,3,3,84.26,Low
4,5.89,63.6,52.5,76.6,83.3,4.6,0,1,77.99,Low
1,5.44,79.5,44.0,48.1,57.1,3.5,1,5,69.74,Medium
7,6.82,68.0,73.2,85.1,65.8,1.5,3,2,75.59,Low
6,6.27,54.6,76.8,79.4,64.5,7.0,0,4,89.52,Low
1,7.42,95.9,74.1,97.4,70.4,1.7,2,3,89.13,Low
1,4.89,56.8,65.5,44.1,90.6,2.8,2,2,60.22,Medium
1,9.37,97.5,60.9,43.4,98.7,2.7,4,5,93.58,Low
3,9.43,72.3,87.5,56.9,58.5,7.0,1,1,100.0,Low
6,7.99,59.3,68.5,55.7,87.9,5.5,2,3,94.68,Low
1,7.18,77.1,66.4,54.8,83.5,6.5,1,2,84.19,Low
4,6.05,93.6,41.4,94.4,70.1,2.4,2,2,77.43,Low
5,8.57,86.6,58.8,55.0,96.9,5.2,4,2,94.62,Low
1,7.92,90.3,60.9,56.3,44.0,4.8,3,5,85.93,Low
3,5.31,82.9,61.9,85.6,37.6,6.7,4,5,62.31,Medium
7,9.05,84.6,71.9,67.0,89.8,7.3,0,5,100.0,Low
6,8.61,92.5,69.3,86.6,60.7,0.6,2,4,93.35,Low
8,9.25,62.5,73.4,43.9,89.3,5.6,0,2,100.0,Low
3,8.13,74.5,82.1,69.3,92.5,0.9,0,3,95.66,Low
1,7.57,61.1,84.7,42.0,34.4,4.6,1,5,92.94,Low
6,6.59,99.4,79.5,43.8,91.8,2.7,2,5,86.6,Low
5,9.16,97.2,92.6,94.4,61.4,2.8,0,2,100.0,Low
1,8.83,52.0,41.0,48.4,65.7,3.1,3,5,80.43,Low
3,4.73,85.3,50.8,71.9,73.9,5.2,0,4,74.66,Low
2,4.63,96.3,40.4,64.7,94.8,3.0,3,4,62.91,Medium
4,6.38,59.0,75.6,60.8,31.3,6.0,1,5,83.6,Low
8,8.55,78.4,89.4,94.0,63.4,3.5,0,2,100.0,Low
7,9.44,95.8,53.4,41.3,78.1,1.0,4,2,88.64,Low
3,5.25,51.7,91.0,79.8,80.6,6.4,1,2,86.02,Low
6,7.47,84.9,43.3,97.8,78.5,2.6,3,1,83.25,Low
8,6.4,64.9,91.4,73.6,39.4,3.7,1,5,83.71,Low
8,9.35,96.2,59.3,96.2,51.0,5.6,0,2,100.0,Low
8,8.71,98.6,45.6,43.1,55.1,3.0,2,4,88.92,Low
1,8.69,97.2,66.7,65.1,86.3,0.9,2,3,97.59,Low
4,6.84,73.7,54.1,55.6,49.5,3.3,3,3,70.94,Low
1,6.57,93.1,55.7,83.8,44.7,7.6,3,2,81.04,Low
6,5.87,92.2,56.9,98.9,97.0,5.3,2,3,83.54,Low
1,4.78,66.0,84.2,55.4,30.6,5.5,3,3,62.03,Medium
2,8.82,91.4,69.7,79.3,99.8,5.2,1,1,100.0,Low
4,8.56,51.9,57.1,51.9,77.4,2.0,4,4,82.57,Low
4,9.5,79.8,73.6,73.9,88.0,3.6,4,4,98.93,Low
6,9.48,61.5,79.4,67.8,50.6,6.1,1,1,100.0,Low
7,7.28,56.0,55.0,98.3,31.0,1.3,4,1,67.09,Medium
2,8.34,53.8,62.7,76.5,81.7,2.6,0,3,99.55,Low
3,9.22,84.8,46.7,61.0,88.4,2.6,1,5,98.23,Low
1,8.75,67.0,50.0,46.8,81.8,3.7,3,3,93.0,Low
5,5.74,86.2,77.5,49.1,40.0,7.9,1,1,73.94,Low
1,6.75,53.3,50.0,53.5,82.7,1.0,2,4,74.5,Low
8,5.15,65.8,68.9,55.1,83.8,4.4,3,3,68.88,Medium
1,9.27,77.0,79.0,91.0,76.1,1.8,2,5,100.0,Low
3,7.53,89.5,45.9,73.7,83.6,7.8,3,3,91.25,Low
1,5.64,65.9,71.2,71.4,89.2,1.3,4,2,68.6,Medium
2,7.86,81.3,54.1,46.9,73.0,3.5,1,3,81.85,Low
2,7.59,94.3,93.0,91.6,36.2,6.0,0,1,100.0,Low
4,6.29,80.8,66.6,83.4,64.1,5.8,3,4,73.07,Low
6,5.07,61.6,84.3,44.1,35.4,3.7,3,4,59.9,Medium
7,7.86,51.2,70.3,82.5,58.5,3.1,2,1,89.32,Low
5,7.1,93.5,42.4,72.6,58.5,3.5,4,2,72.02,Low
8,8.36,51.1,74.8,44.9,34.6,2.5,2,1,78.03,Low
1,7.1,93.7,92.3,67.5,54.4,2.0,2,3,84.51,Low
1,8.76,76.4,73.1,69.1,37.8,4.1,4,1,91.97,Low
3,7.26,97.0,85.1,49.9,86.6,2.5,0,1,86.19,Low
6,7.3,89.9,88.6,96.7,96.3,2.7,2,2,89.58,Low
2,8.88,99.9,52.5,91.0,35.1,5.4,2,3,100.0,Low
5,6.52,67.5,51.7,80.1,96.9,7.8,3,5,91.12,Low
4,5.17,88.4,73.6,67.7,66.6,5.0,4,5,69.69,Medium
2,4.64,70.1,62.6,64.7,51.0,1.1,1,4,59.38,Medium
8,8.28,74.0,86.2,79.1,35.4,1.1,0,1,98.68,Low
6,7.6,81.4,89.5,72.7,65.0,7.6,0,4,100.0,Low
8,8.02,93.7,59.4,43.7,85.6,2.7,4,2,83.44,Low
7,5.56,99.2,53.0,70.8,79.5,1.2,3,5,67.18,Medium
4,5.18,88.4,82.9,88.4,33.5,5.0,3,1,69.08,Medium
7,4.57,70.9,55.1,67.6,35.1,5.2,4,2,54.93,Medium
3,6.25,71.1,85.2,43.1,58.2,5.4,3,2,75.86,Low
8,7.45,86.9,63.3,87.2,50.7,2.5,0,1,93.23,Low
3,6.46,61.9,76.7,52.1,46.3,0.6,0,2,78.29,Low
1,6.69,55.5,45.3,55.5,49.7,7.7,1,1,76.01,Low
7,9.02,67.7,74.3,49.9,86.2,2.4,4,1,91.39,Low
6,6.24,64.4,64.8,59.8,95.0,5.6,2,3,81.66,Low
8,7.07,64.8,72.3,85.4,58.4,5.8,2,4,89.96,Low
5,8.42,61.7,49.2,71.2,93.4,5.1,1,2,100.0,Low
4,6.48,52.1,80.5,52.3,52.5,2.8,1,2,72.99,Low
2,7.61,50.9,87.5,92.7,63.4,2.5,3,3,84.74,Low
6,8.81,99.4,51.9,92.8,45.8,5.0,1,3,99.16,Low
6,9.25,71.4,45.3,92.2,74.8,7.0,1,3,100.0,Low
3,5.24,69.2,41.3,54.3,98.5,7.6,2,5,76.52,Low
7,9.13,84.0,75.3,67.1,72.2,1.3,3,5,100.0,Low
8,6.96,60.9,73.4,99.1,55.0,1.7,1,5,80.26,Low
8,5.79,97.5,70.1,86.3,75.3,7.6,1,1,86.26,Low
1,6.8,89.3,52.8,41.6,38.6,6.0,3,2,76.39,Low
1,9.4,54.5,61.5,43.9,92.2,7.1,4,4,97.1,Low
4,6.96,70.9,72.7,67.8,65.2,2.0,3,1,74.68,Low
3,6.14,94.0,67.3,94.6,61.5,4.9,2,2,77.54,Low
6,7.67,97.2,94.3,72.3,71.0,5.8,4,2,91.28,Low
8,5.7,73.4,47.5,69.9,73.7,5.6,0,3,77.85,Low
5,4.88,80.7,78.2,46.3,35.0,3.6,3,3,54.92,Medium
3,5.14,58.4,62.2,79.4,77.8,0.6,2,1,66.35,Medium
4,5.14,99.6,63.6,89.3,46.9,4.9,4,3,70.33,Low
4,5.26,61.6,79.5,62.8,80.0,2.4,3,2,65.94,Medium
3,5.19,97.1,78.1,86.5,87.6,3.9,1,3,81.7,Low
4,7.7,82.5,94.5,97.9,86.3,7.7,3,5,100.0,Low
3,5.41,80.4,47.1,52.2,68.7,3.5,0,3,73.99,Low
2,6.23,75.6,45.7,71.4,66.4,6.8,3,2,77.72,Low
3,8.98,61.5,79.8,57.2,40.0,1.9,4,1,81.66,Low
7,6.87,58.8,71.8,87.6,84.3,5.5,4,4,86.12,Low
3,7.84,61.0,55.1,74.7,49.0,7.8,3,3,88.28,Low
4,5.36,59.3,44.4,78.1,64.8,1.3,4,2,56.93,Medium
8,5.46,89.0,44.7,87.9,49.9,0.6,1,4,65.69,Medium
7,4.7,67.5,89.2,63.8,39.4,3.8,3,4,64.91,Medium
4,5.34,52.9,50.6,94.9,74.1,1.2,1,5,68.46,Medium
1,5.89,98.5,57.8,72.0,33.8,6.1,1,4,78.57,Low
1,5.39,94.2,52.5,49.5,82.4,7.4,2,2,72.87,Low
8,4.94,96.4,59.5,81.8,52.2,3.8,3,2,62.05,Medium
8,5.1,99.7,43.8,87.6,30.0,2.4,4,3,64.97,Medium
7,6.8,58.7,68.5,59.0,65.8,3.8,1,3,85.92,Low
2,5.53,69.8,43.7,91.4,33.3,5.9,2,3,76.33,Low
8,6.32,87.9,84.0,94.4,49.3,0.6,3,4,72.23,Low
1,7.02,84.8,52.9,56.6,79.5,4.9,3,4,81.73,Low
3,7.95,57.7,69.7,99.0,34.4,5.1,0,5,93.98,Low
4,4.7,90.8,88.4,48.4,88.8,5.3,0,3,77.82,Low
1,8.5,61.2,75.8,52.1,30.3,2.3,1,1,83.93,Low
1,7.64,61.2,69.3,51.1,47.3,5.9,0,5,97.4,Low
2,4.91,76.8,57.8,93.6,81.9,1.2,1,1,66.88,Medium
7,8.87,79.6,58.3,79.3,52.1,2.0,4,4,90.14,Low
7,9.1,79.0,76.8,49.1,37.1,7.1,1,5,100.0,Low
6,4.81,54.6,94.7,66.4,55.2,6.0,0,5,86.41,Low
2,5.88,93.9,76.4,76.9,48.9,0.6,4,2,61.05,Medium
3,8.53,63.3,70.7,45.0,89.0,2.4,0,4,100.0,Low
7,8.24,56.5,80.2,92.9,51.9,2.1,1,4,97.43,Low
4,5.42,94.4,65.6,88.2,85.2,2.5,2,5,74.39,Low
8,5.55,97.8,43.3,70.3,92.4,2.4,3,4,73.02,Low
2,6.35,93.1,70.9,98.0,60.4,1.0,0,5,87.74,Low
